plate_name	well_name
HUPFP0032_9	D10
HUPFP0032_9	E01
HUPFP0033_1	A05
HUPFP0033_1	A10
HUPFP0033_1	C02
HUPFP0033_1	C03
HUPFP0033_1	H07
HUPFP0033_1	H08
HUPFP0033_10	A07
HUPFP0033_10	D01
HUPFP0033_10	D11
HUPFP0033_12	A06
HUPFP0033_12	B01
HUPFP0033_12	B02
HUPFP0033_12	B03
HUPFP0033_12	C07
HUPFP0033_12	F02
HUPFP0033_14	A01
HUPFP0033_14	B10
HUPFP0033_14	C06
HUPFP0033_14	D01
HUPFP0033_14	E03
HUPFP0033_14	G01
HUPFP0033_14	G04
HUPFP0033_2	A01
HUPFP0033_2	A06
HUPFP0033_2	A11
HUPFP0033_2	D05
HUPFP0033_2	D06
HUPFP0033_2	E02
HUPFP0033_4	A05
HUPFP0033_4	A06
HUPFP0033_4	D05
HUPFP0033_4	F10
HUPFP0033_4	G02
HUPFP0033_5	B07
HUPFP0033_5	C02
HUPFP0033_5	C03
HUPFP0033_7	A01
HUPFP0033_7	A03
HUPFP0033_7	A06
HUPFP0033_7	A07
HUPFP0033_7	B03
HUPFP0033_7	C01
HUPFP0033_7	D05
HUPFP0033_7	F04
HUPFP0033_9	A02
HUPFP0033_9	A05
HUPFP0033_9	A06
HUPFP0033_9	A08
HUPFP0033_9	C02
HUPFP0033_9	C07
HUPFP0033_9	D05
HUPFP0033_9	F05
HUPFP0033_9	F09
HUPFP0033_9	G03
HUPFP0033_9	G04
HUPFP0033_9	G05
HUPFP0033_9	G06
HUPFP0033_9	H09
HUPFP0034_13	B06
HUPFP0034_13	E09
HUPFP0034_14	A03
HUPFP0034_14	D03
HUPFP0034_14	F03
HUPFP0034_14	G02
HUPFP0034_14	H09
HUPFP0034_4	A03
HUPFP0034_4	B04
HUPFP0034_4	C02
HUPFP0034_4	D06
HUPFP0034_4	D11
HUPFP0034_4	H01
HUPFP0034_4	H10
HUPFP0034_5	D07
HUPFP0034_5	G09
HUPFP0034_6	A09
HUPFP0034_6	B06
HUPFP0034_6	E04
HUPFP0034_6	E07
HUPFP0034_6	E09
HUPFP0034_6	H03
HUPFP0034_7	D07
HUPFP0034_7	D08
HUPFP0035_1	A01
HUPFP0035_1	B09
HUPFP0035_1	B12
HUPFP0035_1	D01
HUPFP0035_1	D08
HUPFP0035_1	F06
HUPFP0035_1	F11
HUPFP0035_1	F12
HUPFP0035_1	G11
HUPFP0035_11	A01
HUPFP0035_11	B06
HUPFP0035_11	C09
HUPFP0035_11	E12
HUPFP0035_11	F01
HUPFP0035_13	A05
HUPFP0035_13	A06
HUPFP0035_13	A10
HUPFP0035_13	A11
HUPFP0035_13	A12
HUPFP0035_13	B06
HUPFP0035_13	D06
HUPFP0035_13	E06
HUPFP0035_13	F06
HUPFP0035_13	G06
HUPFP0035_4	E01
HUPFP0035_4	F10
HUPFP0035_7	C01
HUPFP0035_7	D10
HUPFP0035_7	G01
HUPFP0035_7	G02
HUPFP0036_1	A01
HUPFP0036_1	C04
HUPFP0036_2	D02
HUPFP0036_2	D07
HUPFP0036_3	A05
HUPFP0036_3	A09
HUPFP0036_3	B03
HUPFP0036_3	B10
HUPFP0036_3	D07
HUPFP0036_4	A09
HUPFP0036_4	B05
HUPFP0036_5	A09
HUPFP0037_11	B05
HUPFP0037_11	C12
HUPFP0037_11	D08
HUPFP0037_11	D11
HUPFP0037_11	F07
HUPFP0037_11	H04
HUPFP0037_13	A02
HUPFP0037_13	A06
HUPFP0037_13	A08
HUPFP0037_13	A09
HUPFP0037_13	A12
HUPFP0037_13	B11
HUPFP0037_4	A01
HUPFP0037_4	A02
HUPFP0037_4	A04
HUPFP0037_4	A08
HUPFP0037_4	B04
HUPFP0037_4	B07
HUPFP0037_4	B09
HUPFP0037_4	C04
HUPFP0037_6	B03
HUPFP0037_6	C04
HUPFP0037_6	C11
HUPFP0037_6	D10
HUPFP0037_7	D03
HUPFP0037_7	E07
HUPFP0037_7	F01
HUPFP0037_7	F12
HUPFP0037_7	G03
HUPFP0037_7	G06
HUPFP0037_7	H06
HUPFP0037_7	H07
HUPFP0037_7	H10
HUPFP0038_1	A04
HUPFP0038_1	C01
HUPFP0038_1	C02
HUPFP0038_1	C04
HUPFP0038_1	D04
HUPFP0038_3	A01
HUPFP0038_3	A04
HUPFP0038_3	A11
HUPFP0038_3	B05
HUPFP0038_3	B07
HUPFP0038_3	D05
HUPFP0038_3	G08
HUPFP0038_3	H01
HUPFP0038_5	B03
HUPFP0038_5	B05
HUPFP0038_5	B08
HUPFP0038_5	B11
HUPFP0038_5	C02
HUPFP0038_5	D11
HUPFP0038_5	E04
HUPFP0038_5	F12
HUPFP0038_5	H11
HUPFP0038_7	E05
HUPFP0038_7	E08
HUPFP0038_7	F03
HUPFP0038_7	F08
HUPFP0038_7	H06
HUPFP0038_8	A10
HUPFP0038_8	B12
HUPFP0038_8	H02
HUPFP0038_8	H05
HUPFP0038_8	H07
HUPFP0038_9	B04
HUPFP0038_9	C04
HUPFP0038_9	E02
HUPFP0038_9	F01
HUPFP0039_2	E10
