fp_plate	fp_well	miseq_plate	miseq_well	miseq_experiment_name
HUPFP0094A1	E11	Miseq_115	116	HUEDQ0587_ASXL3
HUPFP0094A1	H01	Miseq_115	124	HUEDQ0587_ASXL3
HUPFP0095A2	A05	Miseq_114	9	HUEDQ0586_LGR6
HUPFP0095A2	A09	Miseq_114	17	HUEDQ0586_LGR6
HUPFP0095A2	D02	Miseq_114	25	HUEDQ0586_LGR6
HUPFP0083A9	B12	Miseq_115	98	HUEDQ0587_ASXL2
HUPFP0083A9	C05	Miseq_115	146	HUEDQ0587_ASXL2
HUPFP0083A9	D07	Miseq_115	170	HUEDQ0587_ASXL2
HUPFP0083A9	E02	Miseq_115	106	HUEDQ0587_ASXL2
HUPFP0083A9	F05	Miseq_115	114	HUEDQ0587_ASXL2
HUPFP0083A9	G01	Miseq_115	154	HUEDQ0587_ASXL2
HUPFP0083A9	G11	Miseq_115	130	HUEDQ0587_ASXL2
HUPFP0083A9	H06	Miseq_115	162	HUEDQ0587_ASXL2
HUPFP0083A9	H07	Miseq_115	122	HUEDQ0587_ASXL2
HUPFP0083A9	H11	Miseq_115	138	HUEDQ0587_ASXL2
HUPFP0102A12	A02	MiSEQ_123	205	HUEDQ0611_PHF6
HUPFP0102A12	A08	MiSEQ_123	213	HUEDQ0611_PHF6
HUPFP0102A12	A11	MiSEQ_123	221	HUEDQ0611_PHF6
HUPFP0102A12	C02	MiSEQ_123	229	HUEDQ0611_PHF6
HUPFP0102A12	C09	MiSEQ_123	237	HUEDQ0611_PHF6
HUPFP0102A12	C10	MiSEQ_123	206	HUEDQ0611_PHF6
HUPFP0102A12	D01	MiSEQ_123	214	HUEDQ0611_PHF6
HUPFP0102A12	E01	MiSEQ_123	222	HUEDQ0611_PHF6
HUPFP0102A12	G07	MiSEQ_123	230	HUEDQ0611_PHF6
HUPFP0102A12	G12	MiSEQ_123	238	HUEDQ0611_PHF6
HUPFP0102B12	C04	MiSEQ_123	247	HUEDQ0611_PHF6
HUPFP0106B2	A03	MiSEQ_123	215	HUEDQ0611_SIN3A
HUPFP0106B2	A11	MiSEQ_123	207	HUEDQ0611_SIN3A
HUPFP0102A5	A04	MiSEQ_123	202	HUEDQ0613_ARID1B
HUPFP0102A5	B10	MiSEQ_123	227	HUEDQ0613_ARID1B
HUPFP0102A5	C02	MiSEQ_123	234	HUEDQ0613_ARID1B
HUPFP0102A5	C03	MiSEQ_123	235	HUEDQ0613_ARID1B
HUPFP0102A5	C07	MiSEQ_123	218	HUEDQ0613_ARID1B
HUPFP0102A5	C11	MiSEQ_123	219	HUEDQ0613_ARID1B
HUPFP0102A5	D10	MiSEQ_123	203	HUEDQ0613_ARID1B
HUPFP0102A5	E06	MiSEQ_123	211	HUEDQ0613_ARID1B
HUPFP0102A5	G08	MiSEQ_123	210	HUEDQ0613_ARID1B
HUPFP0102A5	H09	MiSEQ_123	226	HUEDQ0613_ARID1B
