experiment,well_name,process,Gene,parent_plate,parent_well
KMT2D_2_Z,B7,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,B7
KMT2D_2_Z,C7,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,C7
KMT2D_2_Z,D7,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,D7
KMT2D_2_Z,E7,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,E7
KMT2D_2_Z,F7,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,F7
KMT2D_2_Z,G7,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,G7
KMT2D_2_Z,H7,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,H7
KMT2D_2_Z,A8,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,A8
KMT2D_2_Z,B8,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,B8
KMT2D_2_Z,C8,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,C8
KMT2D_2_Z,D8,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,D8
KMT2D_2_Z,E8,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,E8
KMT2D_2_Z,F8,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,F8
KMT2D_2_Z,G8,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,G8
KMT2D_2_Z,H8,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,H8
KMT2D_2_Z,A9,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,A9
KMT2D_2_Z,B9,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,B9
KMT2D_2_Z,C9,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,C9
KMT2D_2_Z,D9,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,D9
KMT2D_2_Z,E9,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,E9
KMT2D_2_Z,F9,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,F9
KMT2D_2_Z,G9,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,G9
KMT2D_2_Z,H9,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,H9
KMT2D_2_Z,A10,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,A10
KMT2D_2_Z,B10,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,B10
KMT2D_2_Z,C10,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,C10
KMT2D_2_Z,D10,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,D10
KMT2D_2_Z,E10,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,E10
KMT2D_2_Z,F10,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,F10
KMT2D_2_Z,G10,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,G10
KMT2D_2_Z,H10,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,H10
KMT2D_2_Z,A11,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,A11
KMT2D_2_Z,B11,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,B11
KMT2D_2_Z,C11,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,C11
KMT2D_2_Z,D11,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,D11
KMT2D_2_Z,E11,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,E11
KMT2D_2_Z,F11,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,F11
KMT2D_2_Z,G11,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,G11
KMT2D_2_Z,H11,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,H11
KMT2D_2_Z,A12,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,A12
KMT2D_2_Z,B12,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,B12
KMT2D_2_Z,C12,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,C12
KMT2D_2_Z,D12,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,D12
KMT2D_2_Z,E12,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,E12
KMT2D_2_Z,F12,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,F12
KMT2D_2_Z,G12,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,G12
KMT2D_2_Z,H12,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,H12
KMT2D_2_AA,A1,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,A1
KMT2D_2_AA,B1,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,B1
KMT2D_2_AA,C1,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,C1
KMT2D_2_AA,D1,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,D1
KMT2D_2_AA,E1,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,E1
KMT2D_2_AA,F1,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,F1
KMT2D_2_AA,G1,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,G1
KMT2D_2_AA,H1,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,H1
KMT2D_2_AA,A2,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,A2
KMT2D_2_AA,B2,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,B2
KMT2D_2_AA,C2,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,C2
KMT2D_2_AA,D2,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,D2
KMT2D_2_AA,E2,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,E2
KMT2D_2_AA,F2,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,F2
KMT2D_2_AA,G2,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,G2
KMT2D_2_AA,H2,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,H2
KMT2D_2_AA,A3,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,A3
KMT2D_2_AA,B3,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,B3
KMT2D_2_AA,C3,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,C3
KMT2D_2_AA,D3,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,D3
KMT2D_2_AA,E3,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,E3
KMT2D_2_AA,F3,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,F3
KMT2D_2_AA,G3,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,G3
KMT2D_2_AA,H3,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,H3
KMT2D_2_AA,A4,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,A4
KMT2D_2_AA,B4,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,B4
KMT2D_2_AA,C4,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,C4
KMT2D_2_AA,D4,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,D4
KMT2D_2_AA,E4,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,E4
KMT2D_2_AA,F4,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,F4
KMT2D_2_AA,G4,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,G4
KMT2D_2_AA,H4,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,H4
KMT2D_2_AA,A5,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,A5
KMT2D_2_AA,B5,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,B5
KMT2D_2_AA,C5,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,C5
KMT2D_2_AA,D5,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,D5
KMT2D_2_AA,E5,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,E5
KMT2D_2_AA,F5,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,F5
KMT2D_2_AA,G5,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,G5
KMT2D_2_AA,H5,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,H5
KMT2D_2_AA,A6,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,A6
KMT2D_2_AA,B6,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,B6
KMT2D_2_AA,C6,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,C6
KMT2D_2_AA,D6,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,D6
KMT2D_2_AA,E6,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,E6
